"model","dimension","rep","steps","nfp","nfapf","npf","nIter","numMhAccepts","kl","covdiv","meandiv","entropydiv","histPerLoc","sampType","runtime","errorType","sqerr","mhType","useForward","neighborhoodsize","mvlmean","mvlvar","klideal","covdivideal","meandivideal","entropydivideal"
"truth",30,1,1,,,,,0,,,,,0,"none",,,,"none",,,-0.6801025735,0,,,,
"observed",30,1,1,,,,,0,,,,,0,"none",,,,"none",,,-1.6639952149,0,,,,
"ideal",30,1,1,40,320,1600,0,0,,,,,0,"none",,,10.7545916313,"none",,,0,15,,,,
"particle",30,1,1,40,320,1600,0,0,0.0400155223,0.0350844995,0.0369694168,-0.032038394,0,"none",,,10.526447031,"none",,,-0.0325689986,15.4529626976,,,,
"franken",30,1,1,40,320,1600,0,0,0.3239171525,0.0591951802,0.307807765,-0.0430857927,0,"none",,,10.2565906385,"none",,3,0.0417153929,15.4928825602,0.1435575926,0.0655060424,0.1316608497,-0.0536092995
"truth",30,1,2,,,,,0,,,,,0,"none",,,,"none",,,-1.5500686748,0,,,,
"observed",30,1,2,,,,,0,0.3964813935,0,0.3964813935,0,0,"none",,,,"none",,,-1.4300056075,3,,,,
"ideal",30,1,2,40,320,1600,0,0,0.0031987838,0.0207398027,0.0003159818,-0.0178570007,0,"none",,,1.0414604104,"none",,,-1.0820942876,2.2404347605,,,,
"particle",30,1,2,40,320,1600,0,0,211584.292921118,211603.538421642,0.0035396533,-19.2490401779,0,"none",0.156717177,,1.817348058,"none",,,-1.3447111122,0.0040356315,,,,
"franken",30,1,2,40,320,1600,0,0,0.1883141095,0.295728424,0.0445705864,-0.1519849009,0,"none",0.166633093,,1.1086316226,"none",,3,-0.8007879894,2.2919621332,,,,
"truth",30,1,3,,,,,0,,,,,0,"none",,,,"none",,,-0.5197110705,0,,,,
"observed",30,1,3,,,,,0,0.3828565083,3.1720657846433E-017,0.3828565083,0,0,"none",,,,"none",,,-0.7872851027,3,,,,
"ideal",30,1,3,40,320,1600,1,0,0.001906287,-0.0039775459,0.0001030942,0.0057807387,0,"none",,,0.5902758479,"none",,,-0.6230238725,1.4561552806,,,,
"particle",30,1,3,40,320,1600,1,0,110.9349256557,117.8026903943,0.0417720807,-6.9095368193,0,"none",0.053423861,,0.7155431431,"none",,,-0.9816751086,0.1049436692,,,,
"franken",30,1,3,40,320,1600,1,0,0.1081773524,0.3001489858,0.0066278634,-0.1985994968,0,"none",0.006683015,,0.5561877775,"none",,3,-0.5294973372,1.0498054951,,,,
"truth",30,1,4,,,,,0,,,,,0,"none",,,,"none",,,-2.1582497107,0,,,,
"observed",30,1,4,,,,,0,0.3300614371,-3.1720657846433E-017,0.3300614371,0,0,"none",,,,"none",,,-2.4502290678,3,,,,
"ideal",30,1,4,40,320,1600,1,0,0.0042318082,0.0310027983,0.000222408,-0.0269933981,0,"none",,,0.5497892554,"none",,,-1.1810380822,1.3126002234,,,,
"particle",30,1,4,40,320,1600,1,0,1572.0438099864,1583.9761156881,0.0015800195,-11.9338857212,0,"none",0.022225184,,0.6035926317,"none",,,-0.2313711808,0.0050800934,,,,
"franken",30,1,4,40,320,1600,1,0,0.0591613889,0.1487686587,0.0040594737,-0.0936667435,0,"none",0.009785223,,0.5260214332,"none",,3,-1.0530191744,1.0989057027,,,,
"truth",30,1,5,,,,,0,,,,,0,"none",,,,"none",,,-1.3178413312,0,,,,
"observed",30,1,5,,,,,0,0.4175464512,-6.34413156928661E-017,0.4175464512,0,0,"none",,,,"none",,,0.794975431,3,,,,
"ideal",30,1,5,40,320,1600,1,0,0.0042156823,-0.0098136412,0.0002847466,0.0137445769,0,"none",,,0.4457780219,"none",,,-0.6176616304,1.2833839659,,,,
"particle",30,1,5,40,320,1600,1,0,13.8281490042,16.4854520543,0.307390948,-2.9646939982,0,"none",0.087410707,,0.5813708093,"none",,,-0.624346995,0.2974522586,,,,
"franken",30,1,5,40,320,1600,1,0,0.1508997967,0.2615579738,0.0054324087,-0.1160905858,0,"none",0.006534253,,0.4469177536,"none",,3,-0.6955866727,1.3027209313,,,,
"truth",30,1,6,,,,,0,,,,,0,"none",,,,"none",,,-3.0154898768,0,,,,
"observed",30,1,6,,,,,0,0.195798244,-1.26882631385732E-016,0.195798244,0,0,"none",,,,"none",,,-1.4311340962,3,,,,
"ideal",30,1,6,40,320,1600,1,0,0.0028925824,0.0154250278,0.0002338856,-0.012766331,0,"none",,,0.7104961892,"none",,,-1.0620522777,1.2772059305,,,,
"particle",30,1,6,40,320,1600,1,0,1.5843854069,2.3298243292,0.0668959532,-0.8123348755,0,"none",0.019068176,,0.8396749426,"none",,,-0.8989782263,1.8877901561,,,,
"franken",30,1,6,40,320,1600,1,0,0.0323247308,0.0985483161,0.0013571908,-0.067580776,0,"none",0.005944121,,0.7259179928,"none",,3,-1.1318557988,1.3688839756,,,,
"truth",30,1,7,,,,,0,,,,,0,"none",,,,"none",,,0.8267196484,0,,,,
"observed",30,1,7,,,,,0,0.1922396139,-1.26882631385732E-016,0.1922396139,0,0,"none",,,,"none",,,-0.4431608976,3,,,,
"ideal",30,1,7,40,320,1600,1,0,0.0035606012,0.0096889536,7.85967072538735E-005,-0.0062069492,0,"none",,,0.5745359494,"none",,,-0.1775540965,1.2758741606,,,,
"particle",30,1,7,40,320,1600,1,0,7.7696065435,10.030848334,0.0941774517,-2.3554192422,0,"none",0.029876612,,0.6304762132,"none",,,-0.0005506219,1.8972194133,,,,
"franken",30,1,7,40,320,1600,1,0,0.0477292055,0.1461722947,0.0018335217,-0.1002766108,0,"none",0.006861535,,0.57197211,"none",,3,-0.2991424968,1.0679140871,,,,
"truth",30,1,8,,,,,0,,,,,0,"none",,,,"none",,,1.3264997733,0,,,,
"observed",30,1,8,,,,,0,0.243001984,-9.51619735392991E-017,0.243001984,0,0,"none",,,,"none",,,4.1132620354,3,,,,
"ideal",30,1,8,40,320,1600,1,0,0.0032092564,0.0281605545,6.48204100496021E-005,-0.0250161185,0,"none",,,0.531397738,"none",,,1.4255183231,1.2755910225,,,,
"particle",30,1,8,40,320,1600,1,0,6.8250568846,8.331754488,0.1240036575,-1.630701261,0,"none",0.078075374,,0.5572135264,"none",,,0.5622014074,0.4781607595,,,,
"franken",30,1,8,40,320,1600,1,0,0.0309210453,0.0174438505,0.0020487359,0.0114284589,0,"none",0.005868873,,0.5419639253,"none",,3,1.2829478902,1.1017355647,,,,
"truth",30,1,9,,,,,0,,,,,0,"none",,,,"none",,,3.6377637353,0,,,,
"observed",30,1,9,,,,,0,0.3583558112,0,0.3583558112,0,0,"none",,,,"none",,,2.0175438092,3,,,,
"ideal",30,1,9,40,320,1600,1,0,0.0039728627,0.0119502946,8.15785356665137E-005,-0.0080590104,0,"none",,,0.7882640696,"none",,,1.7889753258,1.2755328775,,,,
"particle",30,1,9,40,320,1600,1,0,519.1978381059,528.0768798145,0.02028108,-8.8993227886,0,"none",0.026854634,,0.5250175622,"none",,,3.5509759948,0.0791604429,,,,
"franken",30,1,9,40,320,1600,1,0,0.0834242415,0.1450300691,0.0093910079,-0.0709968355,0,"none",0.006694263,,0.8151340577,"none",,3,1.5967217607,1.2370195231,,,,
"truth",30,1,10,,,,,0,,,,,0,"none",,,,"none",,,1.0093068957,0,,,,
"observed",30,1,10,,,,,0,0.1481939292,0,0.1481939292,0,0,"none",,,,"none",,,2.3308937898,3,,,,
"ideal",30,1,10,40,320,1600,1,0,0.003101843,0.0265211374,0.0001157812,-0.0235350756,0,"none",,,0.5266052792,"none",,,1.7169186451,1.2755214072,,,,
"particle",30,1,10,40,320,1600,1,0,1.4885935442,2.66679252,0.0291717686,-1.2073707443,0,"none",0.015692049,,0.500974263,"none",,,1.5898974879,1.0299623034,,,,
"franken",30,1,10,40,320,1600,1,0,0.0228959592,0.0652540943,0.0024708325,-0.0448289676,0,"none",0.011797815,,0.5195380652,"none",,3,1.6404463033,1.1360764475,,,,
"finkel",30,1,2,40,320,1600,40,17293,36495790382757400000000000000,36495790382757400000000000000,0.0537464907,-3.5144401552,15,"bkf.SampleLog",1.425592181,,1.1794706836,"bkf.MhCompromise",1,,-1.170979997,1.3868514446,,,,
"finkel",30,1,3,40,320,1600,40,21852,0.1583069397,0.1003064039,0.0198079618,0.0381925739,15,"bkf.SampleLog",0.880264892,,0.69519997,"bkf.MhCompromise",1,,-0.5713662644,1.0148392502,,,,
"finkel",30,1,4,40,320,1600,40,23044,0.166312996,0.0690079517,0.0225561852,0.0747488592,15,"bkf.SampleLog",1.026395237,,0.5954693724,"bkf.MhCompromise",1,,-0.8301158412,0.9814577581,,,,
"finkel",30,1,5,40,320,1600,40,22040,0.2519548277,0.1516113946,0.0129957473,0.0873476858,15,"bkf.SampleLog",0.545640037,,0.4951360006,"bkf.MhCompromise",1,,-0.4497166473,1.3367648866,,,,
"finkel",30,1,6,40,320,1600,40,24395,0.1279116024,0.1085837581,0.011445349,0.0078824953,15,"bkf.SampleLog",0.531869319,,0.7324546281,"bkf.MhCompromise",1,,-1.2314452692,1.5433764349,,,,
"finkel",30,1,7,40,320,1600,40,23187,0.1324826285,0.1318475779,0.0046250537,-0.0039900032,15,"bkf.SampleLog",0.592690406,,0.5914462801,"bkf.MhCompromise",1,,-0.1185395763,0.8006066725,,,,
"finkel",30,1,8,40,320,1600,40,24001,0.168879917,0.1098777168,0.0139878126,0.0450143876,15,"bkf.SampleLog",0.556487882,,0.5784775209,"bkf.MhCompromise",1,,2.1678265594,1.2969650037,,,,
"finkel",30,1,9,40,320,1600,40,22382,0.2313099171,0.1460256956,0.0309602915,0.05432393,15,"bkf.SampleLog",0.548359245,,0.7119174124,"bkf.MhCompromise",1,,2.1994050394,1.3261653072,,,,
"finkel",30,1,10,40,320,1600,40,23906,0.1565999984,0.1695532293,0.0079762488,-0.0209294797,15,"bkf.SampleLog",0.525430483,,0.5130371361,"bkf.MhCompromise",1,,1.9203687695,1.0041328215,,,,
"finkel",30,1,2,40,320,1600,0,0,12.2329365614,12.3351599457,0.105425427,-0.2076488113,15,"bkf.SampleLog",0.08035968,,1.3470377116,"bkf.MhCompromise",1,,-0.7712317003,3.255769882,,,,
"finkel",30,1,3,40,320,1600,0,0,0.120285197,0.1306222959,0.0163778303,-0.0267149292,15,"bkf.SampleLog",0.003285729,,0.6394334812,"bkf.MhCompromise",1,,-0.373807566,1.4998217133,,,,
"finkel",30,1,4,40,320,1600,0,0,0.2235203977,0.4217615754,0.015437765,-0.2136789426,15,"bkf.SampleLog",0.005122107,,0.5332124475,"bkf.MhCompromise",1,,-1.2333278516,0.9738947038,,,,
"finkel",30,1,5,40,320,1600,0,0,0.3566347672,0.7500467399,0.007539231,-0.4009512037,15,"bkf.SampleLog",0.014309017,,0.4330730846,"bkf.MhCompromise",1,,-0.5254605634,1.4142001376,,,,
"finkel",30,1,6,40,320,1600,0,0,0.1963028653,0.4117645281,0.0078881039,-0.2233497666,15,"bkf.SampleLog",0.013348758,,0.7303469228,"bkf.MhCompromise",1,,-0.8270061766,0.793715117,,,,
"finkel",30,1,7,40,320,1600,0,0,0.2234801377,0.2966023481,0.0075512205,-0.0806734309,15,"bkf.SampleLog",0.003327094,,0.6251604057,"bkf.MhCompromise",1,,-0.3742236495,0.9365713825,,,,
"finkel",30,1,8,40,320,1600,0,0,0.1132179507,0.1528799178,0.005391974,-0.0450539411,15,"bkf.SampleLog",0.002269558,,0.5606156236,"bkf.MhCompromise",1,,1.2014330619,0.8897757738,,,,
"finkel",30,1,9,40,320,1600,0,0,0.1677458655,0.2720559609,0.0156332277,-0.1199433231,15,"bkf.SampleLog",0.034646305,,0.7955259212,"bkf.MhCompromise",1,,1.4303488353,1.4582812014,,,,
"finkel",30,1,10,40,320,1600,0,0,0.1564310996,0.3539597158,0.0098099138,-0.20733853,15,"bkf.SampleLog",0.002952263,,0.555651759,"bkf.MhCompromise",1,,1.8853488071,1.2328399606,,,,
"finkel",30,1,2,40,320,1600,80,40362,0.5356719364,0.5794133349,0.0663191084,-0.1100605069,15,"bkf.SampleLog",0.99535003,,1.1520248419,"bkf.MhCompromise",1,,-0.4778374035,1.93526378,,,,
"finkel",30,1,3,40,320,1600,80,53680,0.1929052915,0.3421882231,0.0107173829,-0.1600003145,15,"bkf.SampleLog",0.826494105,,0.5652852175,"bkf.MhCompromise",1,,-0.5443294749,1.3453272387,,,,
"finkel",30,1,4,40,320,1600,80,55711,0.3350638262,0.3686985191,0.0079085972,-0.04154329,15,"bkf.SampleLog",0.925856647,,0.5296795133,"bkf.MhCompromise",1,,-0.8655275473,0.8127764812,,,,
"finkel",30,1,5,40,320,1600,80,55645,0.2540277618,0.3677064939,0.0048025957,-0.1184813278,15,"bkf.SampleLog",0.886001498,,0.411071256,"bkf.MhCompromise",1,,-0.1911415862,0.6562026847,,,,
"finkel",30,1,6,40,320,1600,80,58339,0.1798695596,0.3673449107,0.0080087458,-0.1954840969,15,"bkf.SampleLog",0.934939051,,0.6821532259,"bkf.MhCompromise",1,,-0.7401214932,1.4109818557,,,,
"finkel",30,1,7,40,320,1600,80,57111,0.1376466098,0.2346007972,0.0060918158,-0.1030460032,15,"bkf.SampleLog",0.886796253,,0.5310942509,"bkf.MhCompromise",1,,-0.5776167897,1.1502031458,,,,
"finkel",30,1,8,40,320,1600,80,55654,0.1125882408,0.089505052,0.0119505063,0.0111326826,15,"bkf.SampleLog",0.916216973,,0.5257977035,"bkf.MhCompromise",1,,1.0492554631,1.0822048511,,,,
"finkel",30,1,9,40,320,1600,80,54734,0.2494082,0.448210229,0.0100511679,-0.2088531969,15,"bkf.SampleLog",0.93101936,,0.7827341013,"bkf.MhCompromise",1,,1.6258768273,2.0019460615,,,,
"finkel",30,1,10,40,320,1600,80,56640,0.1370416542,0.2159974797,0.0187059112,-0.0976617366,15,"bkf.SampleLog",0.886309403,,0.6211742696,"bkf.MhCompromise",1,,2.3659565918,1.2143810497,,,,
"finkel",30,1,2,40,320,1600,20,7027,0.6383075498,0.9760424052,0.0293367926,-0.367071648,15,"bkf.SampleLog",0.415213819,,1.0813831622,"bkf.MhCompromise",1,,-1.357140751,2.2876665247,,,,
"finkel",30,1,3,40,320,1600,20,8959,0.1595545798,0.2261678409,0.0173003094,-0.0839135705,15,"bkf.SampleLog",0.412788263,,0.6722274472,"bkf.MhCompromise",1,,-0.4762725374,1.573591523,,,,
"finkel",30,1,4,40,320,1600,20,8873,0.206134467,0.3011333905,0.017982633,-0.1129815564,15,"bkf.SampleLog",0.384652286,,0.5587570562,"bkf.MhCompromise",1,,-1.0678284531,1.7189828867,,,,
"finkel",30,1,5,40,320,1600,20,9164,0.3614240787,0.6306845996,0.0240157005,-0.2932762214,15,"bkf.SampleLog",0.446469572,,0.5087214379,"bkf.MhCompromise",1,,-1.0396201807,0.8342520907,,,,
"finkel",30,1,6,40,320,1600,20,9286,0.1973167623,0.3595461428,0.0089257098,-0.1711550902,15,"bkf.SampleLog",0.384225491,,0.7551164924,"bkf.MhCompromise",1,,-0.8844239143,0.817926859,,,,
"finkel",30,1,7,40,320,1600,20,9284,0.2325243999,0.3179921516,0.0109011709,-0.0963689226,15,"bkf.SampleLog",0.439607059,,0.6458298197,"bkf.MhCompromise",1,,-0.2393454233,1.3963953259,,,,
"finkel",30,1,8,40,320,1600,20,8830,0.1397960348,0.0868447809,0.0158113387,0.0371399151,15,"bkf.SampleLog",0.417494504,,0.5576605656,"bkf.MhCompromise",1,,1.5129108238,1.6095547625,,,,
"finkel",30,1,9,40,320,1600,20,8947,0.1991481428,0.39556391,0.0148753812,-0.2112911484,15,"bkf.SampleLog",0.386291511,,0.7641009702,"bkf.MhCompromise",1,,1.8252889864,1.6432966992,,,,
"finkel",30,1,10,40,320,1600,20,9184,0.1403759319,0.2716459313,0.0134705131,-0.1447405125,15,"bkf.SampleLog",0.432899994,,0.5206417791,"bkf.MhCompromise",1,,1.5712822232,0.8294538005,,,,
"finkel",30,1,2,40,320,1600,160,91062,0.3162650735,0.455280323,0.0622920217,-0.2013072712,15,"bkf.SampleLog",1.77795004,,1.0766939791,"bkf.MhCompromise",1,,-1.0488634631,1.5138309419,,,,
"finkel",30,1,3,40,320,1600,160,118895,0.2166725457,0.2863374579,0.0159433578,-0.08560827,15,"bkf.SampleLog",1.445750491,,0.58449818,"bkf.MhCompromise",1,,-0.2676769484,1.1285552059,,,,
"finkel",30,1,4,40,320,1600,160,122407,0.1905685291,0.1953137515,0.0344623445,-0.0392075668,15,"bkf.SampleLog",1.484199723,,0.6755768609,"bkf.MhCompromise",1,,-1.2549579661,1.0035605667,,,,
"finkel",30,1,5,40,320,1600,160,116442,0.175299558,0.1298097578,0.0137868654,0.0317029348,15,"bkf.SampleLog",1.409766793,,0.4926210186,"bkf.MhCompromise",1,,-0.8205317759,1.5469745403,,,,
"finkel",30,1,6,40,320,1600,160,125960,0.3678712999,0.483589551,0.0170362447,-0.1327544958,15,"bkf.SampleLog",2.045375252,,0.7753523158,"bkf.MhCompromise",1,,-0.9129423799,0.9938341417,,,,
"finkel",30,1,7,40,320,1600,160,121561,0.303568232,0.5062346754,0.0066172184,-0.2092836618,15,"bkf.SampleLog",1.691290759,,0.5496278862,"bkf.MhCompromise",1,,-0.4340981068,1.0120102436,,,,
"finkel",30,1,8,40,320,1600,160,125800,0.2051303766,0.2700457025,0.0107641733,-0.0756794992,15,"bkf.SampleLog",1.574699307,,0.55476622,"bkf.MhCompromise",1,,1.3719302363,1.1753246788,,,,
"finkel",30,1,9,40,320,1600,160,115065,0.2698407767,0.3416308369,0.0167908288,-0.088580889,15,"bkf.SampleLog",1.482252834,,0.8007257384,"bkf.MhCompromise",1,,1.7896863953,1.3366296047,,,,
"finkel",30,1,10,40,320,1600,160,125706,0.1212945681,0.1034770764,0.0135610084,0.0042564833,15,"bkf.SampleLog",1.536897595,,0.5750145475,"bkf.MhCompromise",1,,1.7952697584,1.1132523273,,,,
"truth",30,2,1,,,,,0,,,,,0,"none",,,,"none",,,1.0093068957,0,,,,
"observed",30,2,1,,,,,0,,,,,0,"none",,,,"none",,,2.3308937898,0,,,,
"ideal",30,2,1,40,320,1600,160,0,,,,,0,"none",,,0.5750145475,"none",,,1.7952697584,1.1132523273,,,,
"particle",30,2,1,40,320,1600,160,0,1.4885935442,2.66679252,0.0291717686,-1.2073707443,0,"none",,,0.500974263,"none",,,1.5898974879,1.0299623034,,,,
"franken",30,2,1,40,320,1600,160,0,0.0230638432,0.0524677503,0.0017920024,-0.0311959095,0,"none",,,0.5220385078,"none",,3,1.6404463033,1.1360764475,0.0228959592,0.0652540943,0.0024708325,-0.0448289676
"truth",30,2,2,,,,,0,,,,,0,"none",,,,"none",,,-1.6798503166,0,,,,
"observed",30,2,2,,,,,0,0.9193930504,0,0.9193930504,0,0,"none",,,,"none",,,-0.3955204013,3,,,,
"ideal",30,2,2,40,320,1600,160,0,0.0027442893,0.0036234107,0.0001863198,-0.0010654412,0,"none",,,1.4376893246,"none",,,0.2175632932,1.2755192285,,,,
"particle",30,2,2,40,320,1600,160,0,252.0238459697,259.8266775327,0.0199346415,-7.8227662046,0,"none",0.025776717,,1.8196012594,"none",,,0.6743651513,0.0131608211,,,,
"franken",30,2,2,40,320,1600,160,0,0.2861673368,0.5735391305,0.0156146893,-0.3029864831,0,"none",0.005265136,,1.8099649796,"none",,3,0.0981251173,1.2176750625,,,,
"truth",30,2,3,,,,,0,,,,,0,"none",,,,"none",,,-0.2718824752,0,,,,
"observed",30,2,3,,,,,0,0.6873699699,0,0.6873699699,0,0,"none",,,,"none",,,-1.1460730856,3,,,,
"ideal",30,2,3,40,320,1600,1,0,0.0038412851,0.0199062033,0.000102969,-0.0161678873,0,"none",,,0.6896000806,"none",,,0.2920581391,1.2755188281,,,,
"particle",30,2,3,40,320,1600,1,0,2.4207261866,3.3786146286,0.189314367,-1.1472028089,0,"none",0.054878238,,1.871666382,"none",,,0.7757135717,0.5105534959,,,,
"franken",30,2,3,40,320,1600,1,0,0.0793562357,0.2130576796,0.0067022823,-0.1404037262,0,"none",0.01125908,,1.4270543488,"none",,3,0.1861422514,1.2990739862,,,,
"truth",30,2,4,,,,,0,,,,,0,"none",,,,"none",,,-0.9186286506,0,,,,
"observed",30,2,4,,,,,0,0.7624440115,-6.34413156928661E-017,0.7624440115,0,0,"none",,,,"none",,,-4.474153742,3,,,,
"ideal",30,2,4,40,320,1600,1,0,0.003526514,-0.0198799823,0.0001314319,0.0232750644,0,"none",,,0.570731624,"none",,,-0.6599300378,1.2755187566,,,,
"particle",30,2,4,40,320,1600,1,0,39.8436998552,42.6488751582,0.4868417491,-3.2920170521,0,"none",0.021319817,,1.0295191092,"none",,,-1.5769650218,1.9869212336,,,,
"franken",30,2,4,40,320,1600,1,0,0.054430773,0.1543118608,0.002575054,-0.1024561418,0,"none",0.005836117,,1.2359123609,"none",,3,-0.5968042377,1.1755908426,,,,
"truth",30,2,5,,,,,0,,,,,0,"none",,,,"none",,,1.6630496858,0,,,,
"observed",30,2,5,,,,,0,0.8032566169,0,0.8032566169,0,0,"none",,,,"none",,,0.0830747058,3,,,,
